"hat";"mean";"se_mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"n_eff";"Rhat"
"y_hat[247]";-4.79;0.02;0.44;-5.68;-5.08;-4.77;-4.47;-3.97;444.81;1
"y_hat[248]";0.36;0;0.06;0.25;0.33;0.36;0.4;0.48;1560.76;1
"y_hat[249]";0.22;0;0.06;0.11;0.18;0.22;0.26;0.33;2171.89;1
"y_hat[250]";-5.67;0.03;0.67;-7.03;-6.11;-5.64;-5.18;-4.47;383.32;1
"y_hat[251]";-4.9;0.02;0.47;-5.85;-5.21;-4.88;-4.56;-4.04;433.42;1
"y_hat[252]";-5.16;0.03;0.53;-6.23;-5.51;-5.14;-4.78;-4.18;412.35;1
"y_hat[253]";-5.01;0.02;0.49;-6;-5.33;-4.99;-4.66;-4.1;423.94;1
"y_hat[254]";-0.42;0;0.07;-0.56;-0.46;-0.42;-0.37;-0.3;1012.51;1
"y_hat[255]";-4.9;0.02;0.47;-5.84;-5.21;-4.88;-4.56;-4.03;433.81;1
"y_hat[256]";-0.59;0;0.07;-0.73;-0.63;-0.58;-0.54;-0.45;918.07;1
"y_hat[257]";-4.96;0.02;0.48;-5.93;-5.28;-4.94;-4.62;-4.08;428.05;1
"y_hat[258]";-5.46;0.03;0.61;-6.71;-5.87;-5.44;-5.03;-4.36;393.21;1
"y_hat[259]";-0.46;0;0.07;-0.6;-0.5;-0.46;-0.41;-0.33;984.97;1
"y_hat[260]";-1.3;0;0.09;-1.48;-1.36;-1.29;-1.23;-1.12;1340.88;1
"y_hat[261]";-6.06;0.04;0.79;-7.69;-6.58;-6.01;-5.49;-4.68;368.36;1
"y_hat[262]";-0.08;0;0.06;-0.19;-0.11;-0.07;-0.04;0.03;2051.6;1
"y_hat[263]";-0.22;0;0.06;-0.34;-0.26;-0.22;-0.18;-0.11;1666.73;1
"y_hat[264]";-4.79;0.02;0.44;-5.68;-5.08;-4.77;-4.47;-3.97;444.77;1
"y_hat[265]";-4.89;0.02;0.47;-5.83;-5.2;-4.87;-4.55;-4.03;434.63;1
"y_hat[266]";0.2;0;0.06;0.08;0.16;0.2;0.23;0.3;2210.88;1
"y_hat[267]";-1.94;0;0.11;-2.16;-2.02;-1.94;-1.87;-1.72;2136.93;1
