shore;ref_ecotype;distAlongPath;test_sex;dur_mean;dur_max;mountYN;size_ratio;size_ratio2;log_male;log_female;shape
CZC;crab;19.53627553;male;NA;NA;0;0.945631514;0.89421896;1.461313594;2.406945108;-0.096600154
CZC;crab;24.20584806;male;16;16;1;1.233377297;1.521219556;1.173567812;2.406945108;-0.102323207
CZC;crab;31.04313219;male;NA;NA;0;1.390525802;1.933562006;1.016419306;2.406945108;-0.040330367
CZC;crab;50.03545023;male;NA;NA;0;1.145997928;1.31331125;1.260947181;2.406945108;-0.059449078
CZC;crab;59.95047248;male;4.5;5;1;0.143336032;0.020545218;2.263609076;2.406945108;0.034008881
CZC;crab;85.72198139;male;74;74;1;0.024225029;0.000586852;2.38272008;2.406945108;0.071511187
CZC;crab;89.75386917;male;NA;NA;0;-0.218980899;0.047952634;2.625926007;2.406945108;0.022311375
CZC;crab;101.0277317;male;NA;NA;0;0.202462753;0.040991166;2.204482355;2.406945108;0.076066437
CZC;crab;106.1788188;male;26;26;1;0.04921967;0.002422576;2.357725439;2.406945108;0.050578293
CZC;crab;68.33187593;male;28.66666667;67;1;-0.115122396;0.013253166;2.522067504;2.406945108;0.033608185
CZD;crab;34.18206441;male;NA;NA;0;1.238974989;1.535059022;1.16797012;2.406945108;-0.038207785
CZD;crab;47.47549267;male;NA;NA;0;0.698843403;0.488382102;1.708101705;2.406945108;-0.082187367
CZD;crab;63.67977945;male;NA;NA;0;0.29618686;0.087726656;2.110758249;2.406945108;0.030797281
CZD;crab;81.63418059;male;3;3;1;0.360538809;0.129988233;2.046406299;2.406945108;-0.041581428
CZD;crab;98.00258844;male;NA;NA;0;0.058559372;0.0034292;2.348385736;2.406945108;0.019061178
CZD;crab;150.0819754;male;NA;NA;0;0.071160284;0.005063786;2.335784824;2.406945108;0.021541305
CZD;crab;126.3399118;male;NA;NA;0;0.010000653;0.000100013;2.396944455;2.406945108;0.014494428
CZD;crab;158.8395869;male;NA;NA;0;0.033426717;0.001117345;2.373518392;2.406945108;-0.01746881
CZD;crab;182.8974033;male;15.5;28;1;0.916168745;0.839365169;1.490776364;2.406945108;-0.070477396
CZD;crab;182.4406002;male;NA;NA;0;0.736286378;0.54211763;1.670658731;2.406945108;-0.050640377
CZD;crab;207.8646745;male;NA;NA;0;0.906446261;0.821644824;1.500498848;2.406945108;-0.053447922
CZD;crab;12.59175635;female;NA;NA;0;0.037794843;0.00142845;2.370243741;2.408038584;0.05128383
CZD;crab;12.59175635;female;NA;NA;0;-0.156910773;0.024620991;2.564949357;2.408038584;0.05128383
CZA;wave;189.8538818;female;NA;NA;0;0.882197725;0.778272827;1.526056303;2.408254029;0.001663093
CZA;crab;272.7562076;male;NA;NA;0;-0.082406422;0.006790818;2.49115171;2.408745289;0.012118077
CZA;crab;4.051249887;male;NA;NA;0;1.005107233;1.010240549;1.403638056;2.408745289;-0.061596778
CZB;crab;81.31699956;female;3.5;4;1;0.126517954;0.016006793;2.282382386;2.40890034;0.040347368
CZB;crab;81.31699956;female;52;52;1;-0.042104758;0.001772811;2.451005098;2.40890034;0.040347368
CZB;wave;81.31699956;female;22;22;1;0.521830691;0.27230727;1.887069649;2.40890034;0.040347368
CZD;crab;159.5863853;female;NA;NA;0;0.057614845;0.00331947;2.351375257;2.408990102;-0.018417336
CZD;crab;159.5863853;female;92;92;1;-0.006923676;4.79e-05;2.415913778;2.408990102;-0.018417336
CZD;wave;159.5863853;female;NA;NA;0;1.492699371;2.228151411;0.916290732;2.408990102;-0.018417336
CZB;wave;94.14848003;female;NA;NA;0;0.68631171;0.471023764;1.722766598;2.409078308;0.034937226
CZB;wave;94.14848003;female;86;86;1;0.584529016;0.34167417;1.824549292;2.409078308;0.034937226
CZA;crab;231.1510146;male;1;1;1;0.010907352;0.00011897;2.398736813;2.409644165;0.042306585
CZA;crab;170.4123575;male;1.5;2;1;0.691164436;0.477708278;1.718479729;2.409644165;-0.04839682
CZA;crab;265.6721361;female;NA;NA;0;0.218076473;0.047557348;2.193885676;2.411962149;0.073998113
CZA;crab;265.6721361;female;NA;NA;0;0.014066876;0.000197877;2.397895273;2.411962149;0.073998113
CZA;crab;215.9518048;female;NA;NA;0;-0.006591476;4.34e-05;2.418588769;2.411997293;0.05176401
CZA;crab;215.9518048;female;88;88;1;-0.046736483;0.002184299;2.458733775;2.411997293;0.05176401
CZA;crab;227.8222104;female;NA;NA;0;-0.042220182;0.001782544;2.454447442;2.41222726;0.065430815
CZA;crab;227.8222104;female;NA;NA;0;-0.179289125;0.03214459;2.591516385;2.41222726;0.065430815
